Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	362252	73.64	181126	0	122610	58516	2.10
Chr2_A_fumigatus_Af293	4844372	378440	78.12	189220	0	127625	61595	2.07
Chr3_A_fumigatus_Af293	4079167	309470	75.87	154735	0	103703	51032	2.03
Chr4_A_fumigatus_Af293	3927224	276042	70.29	138021	0	92410	45611	2.03
Chr5_A_fumigatus_Af293	3948441	302604	76.64	151302	0	101528	49774	2.04
Chr6_A_fumigatus_Af293	3778736	284152	75.20	142076	0	95581	46495	2.06
Chr7_A_fumigatus_Af293	2058334	145530	70.70	72765	0	48893	23872	2.05
Chr8_A_fumigatus_Af293	1833124	133676	72.92	66838	0	44179	22659	1.95
mito_A_fumigatus_Af293	31765	748	23.55	374	0	250	124	2.02
Totals	29420142	2192914	74.54	1096457	0	736779	359678	2.05
