Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
Chr1_A_fumigatus_Af293	4918979	9276	1.89	0	4638	19	19	1.00
Chr2_A_fumigatus_Af293	4844372	8348	1.72	0	4174	27	15	1.80
Chr3_A_fumigatus_Af293	4079167	7222	1.77	0	3611	29	17	1.71
Chr4_A_fumigatus_Af293	3927224	6394	1.63	0	3197	24	17	1.41
Chr5_A_fumigatus_Af293	3948441	6550	1.66	0	3275	19	9	2.11
Chr6_A_fumigatus_Af293	3778736	7096	1.88	0	3548	30	18	1.67
Chr7_A_fumigatus_Af293	2058334	4170	2.03	0	2085	11	4	2.75
Chr8_A_fumigatus_Af293	1833124	3024	1.65	0	1512	7	6	1.17
mito_A_fumigatus_Af293	31765	46	1.45	0	23	0	0	0
Totals	29420142	52126	1.77	0	26063	166	105	1.58
